,run_order,ms_file_label,plate_row,plate_col,column,sample_type,concentration,Biological sample_run_nbr
0,0,2021_12_24RG_Col03_Blank_pre1_20211227165646,:,:,Col03,Blank,,
1,1,2021_12_24RG_Col04_Blank_pre1_20211227170302,:,:,Col04,Blank,,
2,2,2021_12_24RG_Col03_Rep1_Std1_20211227170749,A,1,Col03,Standard,C1,
3,3,2021_12_24RG_Col04_Rep1_Std1_20211227171237,A,1,Col04,Standard,C1,
4,4,2021_12_24RG_Col03_Rep1_Std2_20211227171726,A,2,Col03,Standard,C2,
5,5,2021_12_24RG_Col04_Rep1_Std2_20211227172215,A,2,Col04,Standard,C2,
6,6,2021_12_24RG_Col03_Rep1_Std3_20211227172703,A,3,Col03,Standard,C3,
7,7,2021_12_24RG_Col04_Rep1_Std3_20211227173152,A,3,Col04,Standard,C3,
8,8,2021_12_24RG_Col03_Rep1_Std4_20211227173638,A,4,Col03,Standard,C4,
9,9,2021_12_24RG_Col04_Rep1_Std4_20211227174127,A,4,Col04,Standard,C4,
10,10,2021_12_24RG_Col03_Rep1_Std5_20211227174616,A,5,Col03,Standard,C5,
11,11,2021_12_24RG_Col04_Rep1_Std5_20211227175104,A,5,Col04,Standard,C5,
12,12,2021_12_24RG_Col03_Rep1_Std6_20211227175553,A,6,Col03,Standard,C6,
13,13,2021_12_24RG_Col04_Rep1_Std6_20211227180041,A,6,Col04,Standard,C6,
14,14,2021_12_24RG_Col03_Conditioning1,:,:,Col03,Biological sample,,1
15,15,2021_12_24RG_Col04_Conditioning2,:,:,Col04,Biological sample,,2
16,16,2021_12_24RG_Col03_Conditioning3,:,:,Col03,Biological sample,,3
17,17,2021_12_24RG_Col04_Conditioning4,:,:,Col04,Biological sample,,4
18,18,2021_12_24RG_Col03_Conditioning5,:,:,Col03,Biological sample,,5
19,19,2021_12_24RG_Col04_Conditioning6,:,:,Col04,Biological sample,,6
20,20,2021_12_24RG_Col03_Conditioning7,:,:,Col03,Biological sample,,7
21,21,2021_12_24RG_Col04_Conditioning8,:,:,Col04,Biological sample,,8
22,22,2021_12_24RG_Col03_Conditioning9,:,:,Col03,Biological sample,,9
23,23,2021_12_24RG_Col04_Conditioning10,:,:,Col04,Biological sample,,10
24,24,2021_12_24RG_Col03_Conditioning11,:,:,Col03,Biological sample,,11
25,25,2021_12_24RG_Col04_Conditioning12,:,:,Col04,Biological sample,,12
26,26,2021_12_24RG_Col03_Conditioning13,:,:,Col03,Biological sample,,13
27,27,2021_12_24RG_Col04_Conditioning14,:,:,Col04,Biological sample,,14
28,28,2021_12_24RG_Col03_Conditioning15,:,:,Col03,Biological sample,,15
29,29,2021_12_24RG_Col04_Conditioning16,:,:,Col04,Biological sample,,16
30,30,2021_12_24RG_Col03_Conditioning17,:,:,Col03,Biological sample,,17
31,31,2021_12_24RG_Col04_Conditioning18,:,:,Col04,Biological sample,,18
32,32,2021_12_24RG_Col03_Conditioning19,:,:,Col03,Biological sample,,19
33,33,2021_12_24RG_Col04_Conditioning20,:,:,Col04,Biological sample,,20
34,34,2021_12_24RG_Col03_Conditioning21,:,:,Col03,Biological sample,,21
35,35,2021_12_24RG_Col04_Conditioning22,:,:,Col04,Biological sample,,22
36,36,2021_12_24RG_Col03_Conditioning23,:,:,Col03,Biological sample,,23
37,37,2021_12_24RG_Col04_Conditioning24,:,:,Col04,Biological sample,,24
38,38,2021_12_24RG_Col03_Conditioning25,:,:,Col03,Biological sample,,25
39,39,2021_12_24RG_Col04_Conditioning26,:,:,Col04,Biological sample,,26
40,40,2021_12_24RG_Col03_Conditioning27,:,:,Col03,Biological sample,,27
41,41,2021_12_24RG_Col04_Conditioning28,:,:,Col04,Biological sample,,28
