peak_label,mz_mean,mz_width,rt,rt_min,rt_max,rt_unit,intensity_threshold,target_filename
Acetoacetate,101.0244,10,41.4,36,49.2,s,0,MINT-targetls-both-columns.csv
N-Acetyl-Threonine,160.0615,10,93,87,97.2,s,0,MINT-targetls-both-columns.csv
Adenine,134.0472,10,88.8,81,99,s,0,MINT-targetls-both-columns.csv
Alanine,88.0404,10,126.6,123,129.6,s,0,MINT-targetls-both-columns.csv
Alpha Ketoglutarate,145.0143,10,123,118.8,127.2,s,0,MINT-targetls-both-columns.csv
Arabitol,151.0612,10,102.6,96,114,s,0,MINT-targetls-both-columns.csv
Arginine,173.1044,10,141,136.8,156,s,0,MINT-targetls-both-columns.csv
Asparagine,131.0462,10,129,126,138,s,0,MINT-targetls-both-columns.csv
Aspartate,132.0302,10,138,132,148.8,s,0,MINT-targetls-both-columns.csv
Carnosine,225.0993,10,142.2,138,150,s,0,MINT-targetls-both-columns.csv
Citrulline,174.0884,10,132.6,129,138,s,0,MINT-targetls-both-columns.csv
Cystine,239.0166,10,143.4,139.2,153,s,0,MINT-targetls-both-columns.csv
Cytidine,242.0782,10,108.6,105,117,s,0,MINT-targetls-both-columns.csv
Dihydroorotate,157.0255,10,114.6,109.8,126,s,0,MINT-targetls-both-columns.csv
Fumarate,115.0037,10,96.6,90,108,s,0,MINT-targetls-both-columns.csv
Glucose,179.0561,10,110.4,105.6,120,s,0,MINT-targetls-both-columns.csv
Glucose-6-Phosphate,259.0225,10,148.8,141,210,s,0,MINT-targetls-both-columns.csv
Glutamate,146.0459,10,130.8,126,136.8,s,0,MINT-targetls-both-columns.csv
Glutamine,145.0619,10,129.6,126,137.4,s,0,MINT-targetls-both-columns.csv
Histidine,154.0622,10,140.4,132.6,156,s,0,MINT-targetls-both-columns.csv
Itaconate,129.0193,10,52.2,45,66,s,0,MINT-targetls-both-columns.csv
Leucine,130.0874,10,111,106.8,120,s,0,MINT-targetls-both-columns.csv
Lysine,145.0983,10,142.2,138,150,s,0,MINT-targetls-both-columns.csv
Methionine,148.0438,10,114,111,120,s,0,MINT-targetls-both-columns.csv
Methionine Sulfoxide,164.0387,10,130.2,126,138,s,0,MINT-targetls-both-columns.csv
Mevalonate,147.0663,10,50.4,45,55.8,s,0,MINT-targetls-both-columns.csv
Myoinositol,179.0561,10,124.2,121.8,127.8,s,0,MINT-targetls-both-columns.csv
N-Acetyl-Aspartate,174.0408,10,105.6,102.9,125.4,s,0,MINT-targetls-both-columns.csv
N-Acetyl-Glutamate,188.0564,10,98.4,94.8,105,s,0,MINT-targetls-both-columns.csv
N-Acetyl-Glutamine,187.0724,10,110.4,106.8,120,s,0,MINT-targetls-both-columns.csv
N-Acetyl-Glycine,116.0353,10,86.4,79.8,97.8,s,0,MINT-targetls-both-columns.csv
N-Acetyl-Leucine,172.0979,10,44.4,37.2,51.6,s,0,MINT-targetls-both-columns.csv
N-Acetyl-Methionine,190.0543,10,53.4,45.6,69,s,0,MINT-targetls-both-columns.csv
N-Acetyl-Phenylalanine,206.0823,10,49.2,42,69,s,0,MINT-targetls-both-columns.csv
Nicotinate,122.0247,10,61.8,56.4,87,s,0,MINT-targetls-both-columns.csv
O-Phospho-L-Serine,184.0016,10,155.4,151.2,177.6,s,0,MINT-targetls-both-columns.csv
Ornithine,131.0826,10,141,138,147,s,0,MINT-targetls-both-columns.csv
Orotate,155.0098,10,118.8,115.2,124.2,s,0,MINT-targetls-both-columns.csv
Pantothenic acid,218.1034,10,54.6,49.2,69,s,0,MINT-targetls-both-columns.csv
Phenylalanine,164.0717,10,109.2,105,120,s,0,MINT-targetls-both-columns.csv
Serine,104.0353,10,129.6,126,138,s,0,MINT-targetls-both-columns.csv
Shikimate,173.0455,10,87,81.6,105,s,0,MINT-targetls-both-columns.csv
Succinate,117.0193,10,48.6,42,55.2,s,0,MINT-targetls-both-columns.csv
Threonine,118.051,10,126,122.4,138,s,0,MINT-targetls-both-columns.csv
Thymine,125.0357,10,40.8,37.2,49.2,s,0,MINT-targetls-both-columns.csv
Trehalose,341.1089,10,126.6,118.8,135,s,0,MINT-targetls-both-columns.csv
Tryptophan,203.0826,10,112.2,109.2,120,s,0,MINT-targetls-both-columns.csv
Tyrosine,180.0666,10,117.6,114.6,124.2,s,0,MINT-targetls-both-columns.csv
Uracil,111.02,10,47.4,43.2,51,s,0,MINT-targetls-both-columns.csv
Urate,167.0211,10,102,99,108,s,0,MINT-targetls-both-columns.csv
Uridine,243.0623,10,73.8,66,87,s,0,MINT-targetls-both-columns.csv
Urocanate,137.0356,10,84,75,96,s,0,MINT-targetls-both-columns.csv
Valine,116.0717,10,118.8,114,126,s,0,MINT-targetls-both-columns.csv
Xanthine,151.0262,10,75,64.8,90,s,0,MINT-targetls-both-columns.csv
Xanthosine,283.0684,10,98.4,94.8,108,s,0,MINT-targetls-both-columns.csv
